X,ID,RP,SP,RP_journey,SP_task,av_car,av_rail,time_car,cost_car,time_rail,cost_rail,access_rail,service_rail,female,business,income,choice
19,2,0,1,NA,1,1,1,300,40,170,35,25,2,1,0,50123,4
20,2,0,1,NA,2,1,1,390,35,140,45,20,1,1,0,50123,4
21,2,0,1,NA,3,1,1,345,35,130,65,5,2,1,0,50123,4
22,2,0,1,NA,4,1,1,275,40,140,55,20,1,1,0,50123,4
23,2,0,1,NA,5,1,1,275,45,130,35,15,3,1,0,50123,1
24,2,0,1,NA,6,1,1,250,50,140,55,25,1,1,0,50123,1
25,2,0,1,NA,7,1,1,390,30,130,75,10,2,1,0,50123,1
26,2,0,1,NA,8,1,1,250,35,155,55,20,2,1,0,50123,4
27,2,0,1,NA,9,1,1,300,35,140,45,20,2,1,0,50123,4
29,2,0,1,NA,11,1,1,390,35,140,75,20,1,1,0,50123,1
30,2,0,1,NA,12,1,1,275,50,155,35,20,1,1,0,50123,4
31,2,0,1,NA,13,1,1,300,40,170,45,5,1,1,0,50123,1
32,2,0,1,NA,14,1,1,275,50,120,75,5,3,1,0,50123,1
100,7,0,1,NA,2,1,1,275,45,170,55,25,3,0,1,40227,4
101,7,0,1,NA,3,1,1,275,45,155,35,5,1,0,1,40227,4
102,7,0,1,NA,4,1,1,300,45,155,65,20,1,0,1,40227,4
103,7,0,1,NA,5,1,1,390,35,155,65,15,3,0,1,40227,4
104,7,0,1,NA,6,1,1,275,40,155,55,5,3,0,1,40227,4
105,7,0,1,NA,7,1,1,250,50,120,65,20,2,0,1,40227,4
106,7,0,1,NA,8,1,1,275,30,155,65,25,2,0,1,40227,1
110,7,0,1,NA,12,1,1,300,45,170,45,5,1,0,1,40227,4
111,7,0,1,NA,13,1,1,345,30,140,65,15,1,0,1,40227,1
112,7,0,1,NA,14,1,1,250,40,140,75,20,2,0,1,40227,1
129,9,1,0,1,NA,1,1,250,45,155,65,15,0,0,1,52314,1
132,9,0,1,NA,2,1,1,345,45,120,45,5,1,0,1,52314,4
133,9,0,1,NA,3,1,1,250,45,120,75,5,2,0,1,52314,4
134,9,0,1,NA,4,1,1,300,45,130,75,15,3,0,1,52314,1
137,9,0,1,NA,7,1,1,390,40,155,65,25,1,0,1,52314,4
138,9,0,1,NA,8,1,1,275,50,155,35,10,3,0,1,52314,4
139,9,0,1,NA,9,1,1,345,50,155,45,5,3,0,1,52314,4
141,9,0,1,NA,11,1,1,300,30,155,45,25,1,0,1,52314,4
143,9,0,1,NA,13,1,1,250,50,120,55,25,2,0,1,52314,4
144,9,0,1,NA,14,1,1,390,35,120,55,10,1,0,1,52314,4
145,10,1,0,1,NA,1,1,345,45,130,35,5,0,0,0,66143,1
146,10,1,0,2,NA,1,1,275,50,120,45,15,0,0,0,66143,1
147,10,0,1,NA,1,1,1,390,35,130,75,25,2,0,0,66143,1
148,10,0,1,NA,2,1,1,300,30,170,55,25,2,0,0,66143,1
149,10,0,1,NA,3,1,1,390,35,155,55,15,1,0,0,66143,1
150,10,0,1,NA,4,1,1,300,45,120,55,5,3,0,0,66143,4
151,10,0,1,NA,5,1,1,345,30,170,45,10,2,0,0,66143,4
152,10,0,1,NA,6,1,1,345,30,120,75,10,2,0,0,66143,1
153,10,0,1,NA,7,1,1,250,50,120,45,20,2,0,0,66143,1
154,10,0,1,NA,8,1,1,275,35,170,35,20,3,0,0,66143,4
155,10,0,1,NA,9,1,1,275,50,120,45,20,2,0,0,66143,4
157,10,0,1,NA,11,1,1,275,50,130,65,15,3,0,0,66143,4
158,10,0,1,NA,12,1,1,345,30,140,75,5,2,0,0,66143,1
161,11,1,0,1,NA,1,1,300,30,155,75,25,0,1,0,26718,1
163,11,0,1,NA,1,1,1,390,40,170,35,5,2,1,0,26718,4
164,11,0,1,NA,2,1,1,390,30,140,55,5,1,1,0,26718,4
165,11,0,1,NA,3,1,1,250,50,120,75,5,3,1,0,26718,1
166,11,0,1,NA,4,1,1,250,40,170,35,25,2,1,0,26718,4
167,11,0,1,NA,5,1,1,275,30,130,75,25,2,1,0,26718,1
168,11,0,1,NA,6,1,1,275,45,170,35,10,2,1,0,26718,4
